"ITEM";"Unique count(SHOP_ORDER_BO)";"Unique concatenate(SHOP_ORDER_BO)"
;1;"ShopOrderBO:0001,A12_DUMMY_A_1"
32906968;1;"ShopOrderBO:0001,I0532906968A_1"
72107426;9;"ShopOrderBO:0001,5236220, ShopOrderBO:0001,5237213, ShopOrderBO:0001,5220460, ShopOrderBO:0001,5238798, ShopOrderBO:0001,5239141, ShopOrderBO:0001,5239649, ShopOrderBO:0001,5239650, ShopOrderBO:0001,5240191, ShopOrderBO:0001,5240957"
72107427;21;"ShopOrderBO:0001,5236225, ShopOrderBO:0001,5236229, ShopOrderBO:0001,5237698, ShopOrderBO:0001,5237222, ShopOrderBO:0001,5237833, ShopOrderBO:0001,5238783, ShopOrderBO:0001,5211827, ShopOrderBO:0001,5219234, ShopOrderBO:0001,5216934, ShopOrderBO:0001,5208247, ShopOrderBO:0001,5216340, ShopOrderBO:0001,5238799, ShopOrderBO:0001,5239147, ShopOrderBO:0001,5239144, ShopOrderBO:0001,5240188, ShopOrderBO:0001,5240184, ShopOrderBO:0001,5240185, ShopOrderBO:0001,A0901_RMA_72107427_A1, ShopOrderBO:0001,5241168, ShopOrderBO:0001,5241170, ShopOrderBO:0001,5241501"
72107433;5;"ShopOrderBO:0001,5236222, ShopOrderBO:0001,5236224, ShopOrderBO:0001,5239145, ShopOrderBO:0001,5239759, ShopOrderBO:0001,5241172"
72107502;2;"ShopOrderBO:0001,5236230, ShopOrderBO:0001,5240438"
72107533;5;"ShopOrderBO:0001,5238232, ShopOrderBO:0001,5237930, ShopOrderBO:0001,A0901_RMA_72107533_A1, ShopOrderBO:0001,5213603, ShopOrderBO:0001,5233047"
72214607;1;"ShopOrderBO:0001,5238403"
72319316;7;"ShopOrderBO:0001,5236647, ShopOrderBO:0001,5238397, ShopOrderBO:0001,5239098, ShopOrderBO:0001,A0901_RMA_72319316_A1, ShopOrderBO:0001,5239735, ShopOrderBO:0001,5240959, ShopOrderBO:0001,5241815"
72319317;20;"ShopOrderBO:0001,5236228, ShopOrderBO:0001,5236221, ShopOrderBO:0001,5237700, ShopOrderBO:0001,5237947, ShopOrderBO:0001,5238784, ShopOrderBO:0001,5239142, ShopOrderBO:0001,A0901_RMA_72319317_A1, ShopOrderBO:0001,5202591, ShopOrderBO:0001,5223603, ShopOrderBO:0001,5224368, ShopOrderBO:0001,5226959, ShopOrderBO:0001,A0902_72319317A1, ShopOrderBO:0001,5203206, ShopOrderBO:0001,5217927, ShopOrderBO:0001,5205407, ShopOrderBO:0001,5210056, ShopOrderBO:0001,5220459, ShopOrderBO:0001,5240186, ShopOrderBO:0001,5240192, ShopOrderBO:0001,5241158"
72319713;5;"ShopOrderBO:0001,5236646, ShopOrderBO:0001,A0901_RMA_72319713_A1, ShopOrderBO:0001,5238785, ShopOrderBO:0001,5239760, ShopOrderBO:0001,5231893"
72319753;4;"ShopOrderBO:0001,5236272, ShopOrderBO:0001,5239751, ShopOrderBO:0001,5241159, ShopOrderBO:0001,5241821"
72320265;1;"ShopOrderBO:0001,57309845"
72320310;1;"ShopOrderBO:0001,60839663"
72320311;1;"ShopOrderBO:0001,5241704"
72320386;1;"ShopOrderBO:0001,57604525"
72320387;1;"ShopOrderBO:0001,57604526"
72320388;1;"ShopOrderBO:0001,57604527"
72906096;1;"ShopOrderBO:0001,072906096"
72906097;2;"ShopOrderBO:0001,072906097, ShopOrderBO:0001,60529767"
72906100;2;"ShopOrderBO:0001,072906100, ShopOrderBO:0001,60764101"
72906102;1;"ShopOrderBO:0001,072906102"
72906126;1;"ShopOrderBO:0001,172906126"
72906169;1;"ShopOrderBO:0001,60529776"
72906186;1;"ShopOrderBO:0001,A09_72906186A_1"
72906187;1;"ShopOrderBO:0001,072906187"
72906193;1;"ShopOrderBO:0001,729061931"
72906492;1;"ShopOrderBO:0001,60528654"
72906512;1;"ShopOrderBO:0001,56007610"
72906521;1;"ShopOrderBO:0001,56007611"
72906600;1;"ShopOrderBO:0001,A09_72906600A_19"
72906638;1;"ShopOrderBO:0001,072906638"
72906682;1;"ShopOrderBO:0001,072906682"
72906691;2;"ShopOrderBO:0001,5199221, ShopOrderBO:0001,5233354"
72906710;1;"ShopOrderBO:0001,A0901_72906710A_1"
72906712;19;"ShopOrderBO:0001,5236219, ShopOrderBO:0001,5238096, ShopOrderBO:0001,5238398, ShopOrderBO:0001,5239099, ShopOrderBO:0001,5239143, ShopOrderBO:0001,5219656, ShopOrderBO:0001,5225374, ShopOrderBO:0001,5239758, ShopOrderBO:0001,5218574, ShopOrderBO:0001,5229610, ShopOrderBO:0001,5212877, ShopOrderBO:0001,5222094, ShopOrderBO:0001,5220389, ShopOrderBO:0001,5240187, ShopOrderBO:0001,5241169, ShopOrderBO:0001,5212237, ShopOrderBO:0001,5232694, ShopOrderBO:0001,5231887, ShopOrderBO:0001,5241813"
72906731;5;"ShopOrderBO:0001,5236223, ShopOrderBO:0001,5239761, ShopOrderBO:0001,5226957, ShopOrderBO:0001,5212238, ShopOrderBO:0001,5241171"
72906926;1;"ShopOrderBO:0001,60528478"
72906929;2;"ShopOrderBO:0001,A09_72906929A_1, ShopOrderBO:0001,A0902_72906929A4"
72906943;2;"ShopOrderBO:0001,A0902_72906943A1, ShopOrderBO:0001,A09_72906943A_1"
72906944;1;"ShopOrderBO:0001,A09_72906944A_1"
72906945;2;"ShopOrderBO:0001,A09_72906945A_1, ShopOrderBO:0001,A0902_72906945A1"
72906973;2;"ShopOrderBO:0001,5239146, ShopOrderBO:0001,5241502"
72906974;1;"ShopOrderBO:0001,5239780"
72906975;4;"ShopOrderBO:0001,5236273, ShopOrderBO:0001,A0901_RMA_72906975_A1, ShopOrderBO:0001,5239755, ShopOrderBO:0001,5241160"
72906976;1;"ShopOrderBO:0001,5238787"
72906982;1;"ShopOrderBO:0001,5236274"
72907002;9;"ShopOrderBO:0001,5237694, ShopOrderBO:0001,5237677, ShopOrderBO:0001,5237680, ShopOrderBO:0001,5237944, ShopOrderBO:0001,5238393, ShopOrderBO:0001,5239756, ShopOrderBO:0001,5240116, ShopOrderBO:0001,5240182, ShopOrderBO:0001,5240958"
80000252;1;"ShopOrderBO:0001,1900901-10"
80000317;1;"ShopOrderBO:0001,1897865-30"
80000648;1;"ShopOrderBO:0001,54645405"
80000653;1;"ShopOrderBO:0001,54645406"
80000719;1;"ShopOrderBO:0001,1901787-10"
80000731;1;"ShopOrderBO:0001,1900901-30"
80000733;1;"ShopOrderBO:0001,54645409"
80000768;1;"ShopOrderBO:0001,1901787-20"
80000935;3;"ShopOrderBO:0001,60358199, ShopOrderBO:0001,60032299, ShopOrderBO:0001,58802991"
80000942;3;"ShopOrderBO:0001,1892759-10, ShopOrderBO:0001,1892759-30, ShopOrderBO:0001,1892759-50"
80000987;3;"ShopOrderBO:0001,60357120, ShopOrderBO:0001,58197331, ShopOrderBO:0001,60032301"
80000988;28;"ShopOrderBO:0001,5235355, ShopOrderBO:0001,5231688, ShopOrderBO:0001,A21REWORK1901, ShopOrderBO:0001,5232356, ShopOrderBO:0001,5234712, ShopOrderBO:0001,5233389, ShopOrderBO:0001,5224108, ShopOrderBO:0001,5237756, ShopOrderBO:0001,5238406, ShopOrderBO:0001,5238805, ShopOrderBO:0001,5227460, ShopOrderBO:0001,5238990, ShopOrderBO:0001,5239663, ShopOrderBO:0001,5240018, ShopOrderBO:0001,5240313, ShopOrderBO:0001,5240729, ShopOrderBO:0001,5240731, ShopOrderBO:0001,5240727, ShopOrderBO:0001,5241553, ShopOrderBO:0001,A21REWORK2001, ShopOrderBO:0001,5228925, ShopOrderBO:0001,5233387, ShopOrderBO:0001,5230687, ShopOrderBO:0001,5233998, ShopOrderBO:0001,5229863, ShopOrderBO:0001,5229865, ShopOrderBO:0001,5232358, ShopOrderBO:0001,5242001"
80000997;1;"ShopOrderBO:0001,59055044"
80001001;2;"ShopOrderBO:0001,54645430, ShopOrderBO:0001,60358203"
80001002;7;"ShopOrderBO:0001,A21REWORK1901, ShopOrderBO:0001,5234193, ShopOrderBO:0001,5235292, ShopOrderBO:0001,5239733, ShopOrderBO:0001,A21REWORK2001, ShopOrderBO:0001,5232360, ShopOrderBO:0001,5241999"
80001004;5;"ShopOrderBO:0001,5237531, ShopOrderBO:0001,A21REWORK1901, ShopOrderBO:0001,5231883, ShopOrderBO:0001,A21REWORK2001, ShopOrderBO:0001,5230106"
80001005;4;"ShopOrderBO:0001,A21REWORK1901, ShopOrderBO:0001,5237533, ShopOrderBO:0001,A21REWORK2001, ShopOrderBO:0001,5230108"
80001007;1;"ShopOrderBO:0001,A21REWORK1901"
80001150;1;"ShopOrderBO:0001,60357919"
80001160;1;"ShopOrderBO:0001,1000362565-000011"
80001163;1;"ShopOrderBO:0001,1000362565-000020"
80001275;2;"ShopOrderBO:0001,60486353, ShopOrderBO:0001,54645486"
80001276;5;"ShopOrderBO:0001,1896681-10, ShopOrderBO:0001,1896681-30, ShopOrderBO:0001,1896681-50, ShopOrderBO:0001,1896681-70, ShopOrderBO:0001,1900599-10"
80001343;2;"ShopOrderBO:0001,5224110, ShopOrderBO:0001,A21REWORK1901"
80001360;1;"ShopOrderBO:0001,1000372040-000010"
80001371;1;"ShopOrderBO:0001,A1680001371A_1"
80001372;1;"ShopOrderBO:0001,A1680001372A_1"
80001393;1;"ShopOrderBO:0001,1000370287-000010"
80001395;1;"ShopOrderBO:0001,1000366131-000010"
80001408;1;"ShopOrderBO:0001,1000329842-000020"
80001414;1;"ShopOrderBO:0001,60725125"
80001415;2;"ShopOrderBO:0001,60484511, ShopOrderBO:0001,58544621"
80001416;1;"ShopOrderBO:0001,60486355"
80001417;1;"ShopOrderBO:0001,60358198"
80001523;1;"ShopOrderBO:0001,60725126"
80001546;3;"ShopOrderBO:0001,5238986, ShopOrderBO:0001,A21REWORK1901, ShopOrderBO:0001,5238988"
80001559;1;"ShopOrderBO:0001,58754649"
80001566;2;"ShopOrderBO:0001,1903583-10, ShopOrderBO:0001,1903577-10"
80001567;2;"ShopOrderBO:0001,60488141, ShopOrderBO:0001,60840244"
80001568;5;"ShopOrderBO:0001,5237721, ShopOrderBO:0001,5240893, ShopOrderBO:0001,5221416, ShopOrderBO:0001,A21REWORK1901, ShopOrderBO:0001,5227181"
80001609;1;"ShopOrderBO:0001,1887969-10"
80001610;1;"ShopOrderBO:0001,1887969-51"
82501301;25;"ShopOrderBO:0001,6084353-10, ShopOrderBO:0001,6084351-10, ShopOrderBO:0001,6084360-10, ShopOrderBO:0001,6084365-10, ShopOrderBO:0001,6084354-10, ShopOrderBO:0001,6084356-10, ShopOrderBO:0001,6084349-10, ShopOrderBO:0001,6084355-10, ShopOrderBO:0001,6084357-10, ShopOrderBO:0001,6084359-10, ShopOrderBO:0001,6084358-10, ShopOrderBO:0001,6084616-10, ShopOrderBO:0001,6084700-20, ShopOrderBO:0001,6084514-10, ShopOrderBO:0001,6084643-10, ShopOrderBO:0001,6085041-20, ShopOrderBO:0001,6084585-20, ShopOrderBO:0001,6085153-10, ShopOrderBO:0001,6084594-10, ShopOrderBO:0001,6084888-10, ShopOrderBO:0001,6085155-10, ShopOrderBO:0001,6085057-10, ShopOrderBO:0001,6084970-10, ShopOrderBO:0001,6085221-10, ShopOrderBO:0001,6084889-10"
82501302;3;"ShopOrderBO:0001,1895714-20, ShopOrderBO:0001,1903336-10, ShopOrderBO:0001,1903336-20"
82501800;2;"ShopOrderBO:0001,60484513, ShopOrderBO:0001,54645441"
82502161;1;"ShopOrderBO:0001,1899845-10"
82502211;3;"ShopOrderBO:0001,1902301-20, ShopOrderBO:0001,1902301-10, ShopOrderBO:0001,1902301-30"
82502301;3;"ShopOrderBO:0001,6084293-30, ShopOrderBO:0001,1896637-20, ShopOrderBO:0001,1894394-10"
82502311;22;"ShopOrderBO:0001,6084843-10, ShopOrderBO:0001,6084397-10, ShopOrderBO:0001,6084561-10, ShopOrderBO:0001,6084514-20, ShopOrderBO:0001,6084549-10, ShopOrderBO:0001,6084706-10, ShopOrderBO:0001,6084753-10, ShopOrderBO:0001,1892988-10, ShopOrderBO:0001,1892942-10, ShopOrderBO:0001,6084843-20, ShopOrderBO:0001,6084682-10, ShopOrderBO:0001,6084635-10, ShopOrderBO:0001,6084585-10, ShopOrderBO:0001,6084267-10, ShopOrderBO:0001,6084574-20, ShopOrderBO:0001,6085075-10, ShopOrderBO:0001,6084843-30, ShopOrderBO:0001,6084656-10, ShopOrderBO:0001,6084575-30, ShopOrderBO:0001,6085110-10, ShopOrderBO:0001,6085206-10, ShopOrderBO:0001,6084731-10"
82502312;1;"ShopOrderBO:0001,1893626-10"
82502760;1;"ShopOrderBO:0001,60488142"
82502800;1;"ShopOrderBO:0001,54645443"
82502810;4;"ShopOrderBO:0001,60358200, ShopOrderBO:0001,60567966, ShopOrderBO:0001,54645444, ShopOrderBO:0001,59710761"
82502970;1;"ShopOrderBO:0001,60358204"
82507301;34;"ShopOrderBO:0001,6084522-10, ShopOrderBO:0001,6084353-20, ShopOrderBO:0001,6084362-10, ShopOrderBO:0001,6084358-20, ShopOrderBO:0001,6084351-20, ShopOrderBO:0001,6084364-10, ShopOrderBO:0001,6084359-20, ShopOrderBO:0001,6084357-20, ShopOrderBO:0001,6084518-10, ShopOrderBO:0001,6084361-10, ShopOrderBO:0001,6084350-10, ShopOrderBO:0001,6084584-30, ShopOrderBO:0001,6084700-30, ShopOrderBO:0001,6084615-10, ShopOrderBO:0001,6085079-10, ShopOrderBO:0001,6084514-30, ShopOrderBO:0001,6085084-10, ShopOrderBO:0001,6085080-10, ShopOrderBO:0001,6084906-10, ShopOrderBO:0001,6084784-10, ShopOrderBO:0001,1898854-20, ShopOrderBO:0001,1903339-30, ShopOrderBO:0001,6085154-10, ShopOrderBO:0001,6085089-10, ShopOrderBO:0001,6085093-10, ShopOrderBO:0001,6085091-10, ShopOrderBO:0001,6085092-10, ShopOrderBO:0001,6085087-10, ShopOrderBO:0001,6085088-10, ShopOrderBO:0001,6085152-10, ShopOrderBO:0001,6085090-10, ShopOrderBO:0001,6085086-10, ShopOrderBO:0001,6085155-20, ShopOrderBO:0001,6084972-10"
82507302;1;"ShopOrderBO:0001,1895714-10"
82507800;3;"ShopOrderBO:0001,60442497, ShopOrderBO:0001,60724784, ShopOrderBO:0001,54645451"
82508311;10;"ShopOrderBO:0001,6084559-20, ShopOrderBO:0001,6084584-40, ShopOrderBO:0001,6084293-40, ShopOrderBO:0001,6084522-20, ShopOrderBO:0001,6084518-20, ShopOrderBO:0001,6084807-10, ShopOrderBO:0001,6085075-20, ShopOrderBO:0001,1901069-10, ShopOrderBO:0001,6084518-40, ShopOrderBO:0001,6084971-10"
82508312;1;"ShopOrderBO:0001,1893626-20"
82508810;1;"ShopOrderBO:0001,60358201"
82508840;1;"ShopOrderBO:0001,58258404"
82508890;1;"ShopOrderBO:0001,54645458"
82511301;21;"ShopOrderBO:0001,6084934-10, ShopOrderBO:0001,6084763-10, ShopOrderBO:0001,6084481-10, ShopOrderBO:0001,6084551-10, ShopOrderBO:0001,6084449-20, ShopOrderBO:0001,6084632-10, ShopOrderBO:0001,6084693-10, ShopOrderBO:0001,6084696-10, ShopOrderBO:0001,6084570-20, ShopOrderBO:0001,6084728-10, ShopOrderBO:0001,6084605-10, ShopOrderBO:0001,6084723-30, ShopOrderBO:0001,6085161-10, ShopOrderBO:0001,6084992-20, ShopOrderBO:0001,6084342-20, ShopOrderBO:0001,6084787-10, ShopOrderBO:0001,6084899-20, ShopOrderBO:0001,6085157-10, ShopOrderBO:0001,6085165-20, ShopOrderBO:0001,6084597-30, ShopOrderBO:0001,6084481-20"
82511341;2;"ShopOrderBO:0001,6085151-30, ShopOrderBO:0001,6084661-50"
82511800;2;"ShopOrderBO:0001,60484451, ShopOrderBO:0001,54645462"
82512301;7;"ShopOrderBO:0001,6085035-80, ShopOrderBO:0001,6084723-10, ShopOrderBO:0001,6085151-10, ShopOrderBO:0001,6084597-10, ShopOrderBO:0001,6085161-20, ShopOrderBO:0001,6085161-70, ShopOrderBO:0001,6085189-20"
82512311;21;"ShopOrderBO:0001,6084481-30, ShopOrderBO:0001,6084763-20, ShopOrderBO:0001,6085128-10, ShopOrderBO:0001,6084891-10, ShopOrderBO:0001,6084885-10, ShopOrderBO:0001,6084723-20, ShopOrderBO:0001,6084583-10, ShopOrderBO:0001,6084501-10, ShopOrderBO:0001,6084551-30, ShopOrderBO:0001,6083425-20, ShopOrderBO:0001,6084570-10, ShopOrderBO:0001,6085161-30, ShopOrderBO:0001,6084503-20, ShopOrderBO:0001,6084992-30, ShopOrderBO:0001,6084719-10, ShopOrderBO:0001,6084342-10, ShopOrderBO:0001,6084961-10, ShopOrderBO:0001,6084583-20, ShopOrderBO:0001,6084810-10, ShopOrderBO:0001,6084844-10, ShopOrderBO:0001,6085161-80"
82512800;1;"ShopOrderBO:0001,60725131"
82512810;3;"ShopOrderBO:0001,60358202, ShopOrderBO:0001,54645466, ShopOrderBO:0001,60529793"
82517301;12;"ShopOrderBO:0001,6084934-20, ShopOrderBO:0001,6084481-60, ShopOrderBO:0001,6085063-30, ShopOrderBO:0001,6084597-50, ShopOrderBO:0001,6084783-40, ShopOrderBO:0001,6084723-40, ShopOrderBO:0001,6084992-10, ShopOrderBO:0001,6085116-10, ShopOrderBO:0001,6085157-20, ShopOrderBO:0001,6084787-30, ShopOrderBO:0001,6085232-10, ShopOrderBO:0001,6085161-90"
82517341;2;"ShopOrderBO:0001,6084695-10, ShopOrderBO:0001,6085151-40"
82517800;2;"ShopOrderBO:0001,60567970, ShopOrderBO:0001,54645470"
82518311;12;"ShopOrderBO:0001,6084768-20, ShopOrderBO:0001,6084723-50, ShopOrderBO:0001,6084501-20, ShopOrderBO:0001,6084860-20, ShopOrderBO:0001,6085161-40, ShopOrderBO:0001,6084583-50, ShopOrderBO:0001,6084719-20, ShopOrderBO:0001,6084810-20, ShopOrderBO:0001,6084768-30, ShopOrderBO:0001,6085054-10, ShopOrderBO:0001,6085042-10, ShopOrderBO:0001,6084883-30"
82518481;1;"ShopOrderBO:0001,1896064-10"
82518810;2;"ShopOrderBO:0001,60032326, ShopOrderBO:0001,60724789"
82518840;1;"ShopOrderBO:0001,54645474"
82562101;1;"ShopOrderBO:0001,1892759-11"
82562600;1;"ShopOrderBO:0001,60442466"
82568311;2;"ShopOrderBO:0001,1901334-10, ShopOrderBO:0001,1903127-10"
82568810;1;"ShopOrderBO:0001,60567981"
82572810;2;"ShopOrderBO:0001,60402180, ShopOrderBO:0001,54645482"
82578810;1;"ShopOrderBO:0001,54645483"
