"SFC";"OPERATION";"Unique concatenate(DESCRIPTION)";"Unique concatenate(ITEM_GROUP)";"Unique count(DESCRIPTION)";"ITEM_NO";"QTY";"ROUTER";"STEP_ID";"RESRCE";"WORK_CENTER";"QTY_STARTED";"QTY_COMPLETED";"QTY_DONE";"QTY_SCRAPPED";"QTY_NON_CONFORMED";"ELAPSED_TIME";"ELAPSED_QUEUE_TIME";"PREVIOUS_RESOURCE_BO";"SFC_DONE";"SHOP_ORDER_BO";"DATE_TIME";"ITEM_DESCRIPTION";"ITEM_TYPE";"OPERATION_DESCRIPTION";"TYPE";"SPECIAL_INSTRUCTION";"RESOURCE_DESCRIPTION";"SETUP_STATE";"SETUP_DESCRIPTION";"WORKCENTER_DESCRIPTION";"WC_CATEGORY";"WC_TYPE";"SHOP_ORDER";"QTY_ORDERED";"QTY_RELEASED";"QTY_DONE_SO";"CUSTOMER";"TRANSFER_SITE";"PROCESSING_TIME_SECS";"WAITING_TIME_SECS";"DESCRIPTION"
"0846111431";"A011350";"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746";"A01PP000200, A01PP000100, A01PP000400";3;"80001567";1;"A01PDR0024";10;"4535";"A010204";1;1;0;0;0;4039;2000;"";"false";"ShopOrderBO:0001,60840244";"29.01.20 09:41:55";"BK V2 EI5 Ve A152,4 1''BS o.RS unr";"M";"Ventil verschrauben";"N";"";"Ventilmontage Gaszähler AP 4";"S";"";"Ventilmontage";"LEVEL1";"ASSEMBLY";"60840244";0;111;94;"";"";4.039;2;"Monti2 Ve"
"0846111431";"A011900";"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746";"A01PP000200, A01PP000100, A01PP000400";3;"80001567";1;"A01PDR0024";30;"3862";"A0102";1;1;0;0;0;4;210734;"ResourceBO:0001,4536";"false";"ShopOrderBO:0001,60840244";"29.01.20 09:45:25";"BK V2 EI5 Ve A152,4 1''BS o.RS unr";"M";"Messwerk einsetzen";"N";"";"Station 4.01.01 Ventilm. Handauflagepl.";"O";"";"Monti 2";"LEVEL3";"ASSEMBLY";"60840244";0;111;94;"";"";0.004;210.734;"Monti2 Ve"
"0846111431";"A012000";"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746";"A01PP000200, A01PP000100, A01PP000400";3;"80001567";1;"A01PDR0024";40;"3629";"A010205";1;1;0;0;0;8802;92000;"ResourceBO:0001,3862";"false";"ShopOrderBO:0001,60840244";"29.01.20 09:47:05";"BK V2 EI5 Ve A152,4 1''BS o.RS unr";"M";"Oberteil dosieren";"N";"";"Station 3.07 Dosieren Oberteil";"S";"";"Zähler montieren";"LEVEL1";"ASSEMBLY";"60840244";0;111;94;"";"";8.802;92;"Monti2 Ve"
"0846111431";"A012200";"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746";"A01PP000200, A01PP000100, A01PP000400";3;"80001567";1;"A01PDR0024";50;"3630";"A010205";1;1;0;0;0;4147;4000;"ResourceBO:0001,3629";"false";"ShopOrderBO:0001,60840244";"29.01.20 09:47:13";"BK V2 EI5 Ve A152,4 1''BS o.RS unr";"M";"Unterteil aufsetzen";"N";"";"Station 3.08 Unterteil aufsetzen";"O";"";"Zähler montieren";"LEVEL1";"ASSEMBLY";"60840244";0;111;94;"";"";4.147;4;"Monti2 Ve"
"0846111431";"A012300";"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746";"A01PP000200, A01PP000100, A01PP000400";3;"80001567";1;"A01PDR0024";60;"3631";"A010206";1;1;0;0;0;7782;14000;"ResourceBO:0001,3630";"false";"ShopOrderBO:0001,60840244";"29.01.20 09:47:34";"BK V2 EI5 Ve A152,4 1''BS o.RS unr";"M";"Falz auflegen";"N";"";"Station 3.09 Falz auflegen";"O";"";"Zähler verschließen";"LEVEL1";"ASSEMBLY";"60840244";0;111;94;"";"";7.782;14;"Monti2 Ve"
"0846111431";"A012500";"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746";"A01PP000200, A01PP000100, A01PP000400";3;"80001567";1;"A01PDR0024";70;"3760";"A010206";1;1;0;0;0;13318;19000;"ResourceBO:0001,3631";"false";"ShopOrderBO:0001,60840244";"29.01.20 09:48:06";"BK V2 EI5 Ve A152,4 1''BS o.RS unr";"M";"Zähler vorbördeln";"N";"";"Station 3.11 Vorbördeln Nr. 2";"O";" ";"Zähler verschließen";"LEVEL1";"ASSEMBLY";"60840244";0;111;94;"";"";13.318;19;"Monti2 Ve"
"0846111431";"A012600";"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746";"A01PP000200, A01PP000100, A01PP000400";3;"80001567";1;"A01PDR0024";80;"3864";"A010206";1;1;0;0;0;9772;4000;"ResourceBO:0001,3760";"false";"ShopOrderBO:0001,60840244";"29.01.20 09:48:19";"BK V2 EI5 Ve A152,4 1''BS o.RS unr";"M";"Zähler fertigbördeln";"N";"";"Station 3.11 Fertigbördeln Nr. 2";"S";" ";"Zähler verschließen";"LEVEL1";"ASSEMBLY";"60840244";0;111;94;"";"";9.772;4;"Monti2 Ve"
"0846111431";"A012800";"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746";"A01PP000200, A01PP000100, A01PP000400";3;"80001567";1;"A01PDR0024";90;"3946";"A010207";1;1;0;0;0;18723;33000;"ResourceBO:0001,3864";"false";"ShopOrderBO:0001,60840244";"29.01.20 09:49:10";"BK V2 EI5 Ve A152,4 1''BS o.RS unr";"M";"Zähler dichtheitsprüfen";"N";"";"Prüfkammer 12";"O";"";"Monti 2 - Heliumprüfung";"LEVEL1";"ASSEMBLY";"60840244";0;111;94;"";"";18.723;33;"Monti2 Ve"
"0846111431";"A012850";"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746";"A01PP000200, A01PP000100, A01PP000400";3;"80001567";1;"A01PDR0024";100;"3865";"A010207";1;1;0;0;0;4;44433;"ResourceBO:0001,3946";"false";"ShopOrderBO:0001,60840244";"29.01.20 09:49:54";"BK V2 EI5 Ve A152,4 1''BS o.RS unr";"M";"Etikett aufbringen (oben)";"N";"";"Station 5.07 Etikettierung Nr. 2";"O";"";"Monti 2 - Heliumprüfung";"LEVEL1";"ASSEMBLY";"60840244";0;111;94;"";"";0.004;44.433;"Monti2 Ve"
"0846111431";"A012900";"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746";"A01PP000200, A01PP000100, A01PP000400";3;"80001567";1;"A01PDR0024";110;"5200";"A010208";1;1;0;0;0;44837;43000;"ResourceBO:0001,3865";"false";"ShopOrderBO:0001,60840244";"29.01.20 09:51:21";"BK V2 EI5 Ve A152,4 1''BS o.RS unr";"M";"ATEX-Prüfung";"N";"";"Automatische ATEX-Prüfung Monti 2";"S";"";"Atexprüfung";"LEVEL1";"ASSEMBLY";"60840244";0;111;94;"";"";44.837;43;"Monti2 Ve"
"0846111431";"A013500";"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746";"A01PP000200, A01PP000100, A01PP000400";3;"80001567";1;"A01PDR0024";120;"7278";"A0102";1;1;1;0;0;4;13992;"ResourceBO:0001,5200";"true";"ShopOrderBO:0001,60840244";"29.01.20 09:51:34";"BK V2 EI5 Ve A152,4 1''BS o.RS unr";"M";"Zähler abstapeln";"N";"";"0020 Station 5.04 Wagen 2 BWM ZONE";"O";"";"Monti 2";"LEVEL3";"ASSEMBLY";"60840244";0;111;94;"";"";0.004;13.992;"Monti2 Ve"
