Operation;Resources
A000002;['5876', '5875', '5599', '5602', '5600', '5603', '5601', '5604', '5596', '5594', '5597', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A000004;['5876', '5875', '5599', '5602', '5600', '5603', '5601', '5604', '5596', '5594', '5597', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A000005;['5876', '5875', '5599', '5602', '5600', '5603', '5601', '5604', '5596', '5594', '5597', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A000006;['5876', '5875', '5599', '5602', '5600', '5603', '5601', '5604', '5596', '5594', '5597', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A000007;['5875', '5604', '5589', '5597', '5600', '5598', '5588', '5594', '5587', '5602', '5585', '5595', '5593', '5599', '5596', '5603', '5601', '5876']
A000008;['5876', '5875', '5599', '5600', '5602', '5603', '5601', '5604', '5596', '5594', '5597', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A000009;['5876', '5875', '5599', '5602', '5600', '5603', '5601', '5604', '5596', '5594', '5597', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A000011;['5876', '5875', '5599', '5602', '5600', '5603', '5601', '5604', '5594', '5596', '5597', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A000012;['5876', '5875', '5599', '5602', '5600', '5603', '5601', '5604', '5596', '5594', '5597', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A000013;['5875', '5604', '5589', '5597', '5600', '5598', '5588', '5594', '5587', '5602', '5585', '5595', '5593', '5599', '5596', '5603', '5601', '5876']
A000014;['5875', '5876', '5599', '5602', '5600', '5603', '5601', '5604', '5596', '5594', '5593', '5597', '5595', '5598', '5585', '5588', '5587', '5589']
A000015;['5875', '5604', '5589', '5597', '5600', '5598', '5588', '5594', '5587', '5602', '5585', '5595', '5593', '5599', '5596', '5603', '5601', '5876']
A000016;['5875', '5604', '5589', '5597', '5600', '5598', '5588', '5594', '5587', '5602', '5585', '5595', '5593', '5599', '5596', '5603', '5601', '5876']
A000017;['5875', '5604', '5597', '5589', '5600', '5598', '5588', '5594', '5587', '5602', '5585', '5595', '5593', '5599', '5596', '5603', '5601', '5876']
A000018;['5875', '5604', '5589', '5597', '5600', '5598', '5588', '5594', '5587', '5602', '5585', '5595', '5593', '5599', '5596', '5603', '5601', '5876']
A000019;['5875', '5604', '5589', '5597', '5600', '5598', '5588', '5594', '5587', '5602', '5585', '5595', '5593', '5599', '5596', '5603', '5601', '5876']
A000021;['5604', '5589', '5597', '5600', '5598', '5588', '5594', '5587', '5602', '5585', '5595', '5593', '5599', '5596', '5603', '5601', '5876', '5875']
A000023;['5875', '5604', '5589', '5597', '5600', '5598', '5588', '5594', '5587', '5602', '5585', '5595', '5593', '5599', '5596', '5603', '5601', '5876']
A000024;['5876', '5875', '5599', '5602', '5600', '5603', '5601', '5604', '5596', '5597', '5594', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A000026;['5876', '5875', '5599', '5602', '5600', '5603', '5601', '5604', '5596', '5594', '5597', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A010500;['3619', '2095', '920']
A010550;['3619']
A010600;['3620', '2095', '920']
A010800;['920']
A010900;['3824', '2095']
A010950;['2095']
A011350;['5036', '4376', '4535']
A011600;['3625', '108']
A011800;['3627', '1614', '4536']
A011900;['3628', '108', '3862']
A012000;['3629', '1489']
A012200;['3630', '1479']
A012300;['3631', '968', '8161']
A012500;['3632', '105', '104', '3760']
A012600;['3863', '105', '104', '3864']
A012800;['3946', '105', '3944', '104', '3945', '3947']
A012850;['3865']
A012900;['5200', '7626']
A013500;['7277', '7278', '7279', '7280']
A020100;['3833']
A060100;['5506', '7123']
A060150;['5506']
A060200;['5070', '5069']
A060250;['7378', '7379', '7383', '7381', '7380', '7382', '5384', '5385', '5378', '5380', '5381', '5383', '5379', '5382', '5377', '5372', '5368', '5376', '5370', '5373', '5374', '5375', '5369', '5371', '5443', '5451', '5444', '5450', '5446', '5449', '5445', '5448', '5447', '7634', '7635', '7636', '5436', '5430', '5435', '5429', '5431', '5433', '5432', '5434', '5437', '7973', '7972', '7977', '7975', '7974', '7976', '7640', '7641', '7642', '7393', '7390', '7395', '7392', '7394', '7391']
A060300;['6181']
A060350;['6181']
A062100;['5507']
A062200;['5506']
A06N010;['5506']
A090100;['6911', '2384', '6909']
A090200;['6912', '5175']
A090300;['6916']
A090400;['6924']
A090500;['6929']
A090600;['6930']
A090700;['7026']
A090800;['7027']
A090850;['7028']
A090900;['7029']
A091100;['7030']
A091200;['6840', '6841']
A091300;['6963']
A091400;['6842', '6843']
A091500;['6944']
A091600;['2382', '6970']
A091700;['6836', '6837']
A091800;['6986']
A091900;['6987']
A092000;['6997']
A092100;['6998']
A092200;['6999']
A092300;['7004']
A092400;['7005']
A092500;['6838', '6839']
A092600;['6388', '6383', '6385', '6384', '6386', '6387']
A092700;['7017']
A092900;['6390', '6389', '6391', '6394', '6392', '6393']
A093200;['7568']
A093300;['7569']
A093400;['6975']
A093500;['2382', '6976', '7408']
A094000;['5120', '5950']
A09N010;['6943', '6944']
A09N020;['6975', '6974']
A09N030;['7055', '7408']
A09N040;['7234']
A120200;['6562', '6564', '5043', '5045', '5044', '3614', '6173', '5864', '5863']
A120300;['5302', '6701', '6702', '6700', '5164', '5165', '5163', '5303', '5866', '5293', '5292', '5867', '5871', '5872']
A120400;['6699', '6697', '6698', '5170', '5169', '5171', '5167', '5168', '5166', '7510', '5294', '5295', '5292', '5303', '5302', '7511', '5869', '5867', '5873', '5874', '7123']
A120500;['5163', '5164']
A12N010;['5043', '6700']
A130100;['5875', '5876']
A130200;['5875', '5876']
A130300;['5180']
A130400;['5180']
A130500;['5180']
A130600;['5181', '5233', '5234']
A136100;['5237', '5238', '5583', '5584', '5593']
A136150;['6020']
A136200;['5268', '5265']
A136300;['5270']
A136400;['5180', '5271']
A139050;['7370']
A139100;['7371', '5271', '5270']
A139200;['5050']
A139250;['5050']
A13N010;['5050', 'DEFAULT']
A13N020;['5039']
A13N030;['5118']
A140100;['5050', '5341']
A140300;['5577']
A140400;['5346']
A140500;['5347']
A140600;['5220']
A140850;['5239']
A140950;['5352']
A14N020;['5353']
A160100;['5366']
A160200;['5366']
A180100;['238']
A210100;['7123']
A210200;['7123', 'DEFAULT']
ENTRY;['6699', '6698', '6697', '5169', '5167', '5166', '5168', '5171', '5875', '5506', '5593', '5271', '5599', '5600', '7371', '5595', '5170', '5270', '5587', '5596', '5594', '5604', '5585', '5602', '5180', '5598', '5603', '5588', '5601', '5597', '5589', '5164', '5165', '5163', '6702', '6701', '6700']
I010100;['SR12_A2_A80_1', '5722', 'SR12_A2_A80_2', '5140']
I010200;['SR12_A2_A90', '5722']
I050100;['5723']
