"SHOP_ORDER_BO";"Unique count*(ITEM)";"Unique concatenate*(ITEM)"
"ShopOrderBO:0001,072906096";1;"72906096"
"ShopOrderBO:0001,072906097";1;"72906097"
"ShopOrderBO:0001,072906100";1;"72906100"
"ShopOrderBO:0001,072906102";1;"72906102"
"ShopOrderBO:0001,072906187";1;"72906187"
"ShopOrderBO:0001,072906638";1;"72906638"
"ShopOrderBO:0001,072906682";1;"72906682"
"ShopOrderBO:0001,1000329842-000020";1;"80001408"
"ShopOrderBO:0001,1000362565-000011";1;"80001160"
"ShopOrderBO:0001,1000362565-000020";1;"80001163"
"ShopOrderBO:0001,1000366131-000010";1;"80001395"
"ShopOrderBO:0001,1000370287-000010";1;"80001393"
"ShopOrderBO:0001,1000372040-000010";1;"80001360"
"ShopOrderBO:0001,172906126";1;"72906126"
"ShopOrderBO:0001,1887969-10";1;"80001609"
"ShopOrderBO:0001,1887969-51";1;"80001610"
"ShopOrderBO:0001,1892759-10";1;"80000942"
"ShopOrderBO:0001,1892759-11";1;"82562101"
"ShopOrderBO:0001,1892759-30";1;"80000942"
"ShopOrderBO:0001,1892759-50";1;"80000942"
"ShopOrderBO:0001,1892942-10";1;"82502311"
"ShopOrderBO:0001,1892988-10";1;"82502311"
"ShopOrderBO:0001,1893626-10";1;"82502312"
"ShopOrderBO:0001,1893626-20";1;"82508312"
"ShopOrderBO:0001,1894394-10";1;"82502301"
"ShopOrderBO:0001,1895714-10";1;"82507302"
"ShopOrderBO:0001,1895714-20";1;"82501302"
"ShopOrderBO:0001,1896064-10";1;"82518481"
"ShopOrderBO:0001,1896637-20";1;"82502301"
"ShopOrderBO:0001,1896681-10";1;"80001276"
"ShopOrderBO:0001,1896681-30";1;"80001276"
"ShopOrderBO:0001,1896681-50";1;"80001276"
"ShopOrderBO:0001,1896681-70";1;"80001276"
"ShopOrderBO:0001,1897865-30";1;"80000317"
"ShopOrderBO:0001,1898854-20";1;"82507301"
"ShopOrderBO:0001,1899845-10";1;"82502161"
"ShopOrderBO:0001,1900599-10";1;"80001276"
"ShopOrderBO:0001,1900901-10";1;"80000252"
"ShopOrderBO:0001,1900901-30";1;"80000731"
"ShopOrderBO:0001,1901069-10";1;"82508311"
"ShopOrderBO:0001,1901334-10";1;"82568311"
"ShopOrderBO:0001,1901787-10";1;"80000719"
"ShopOrderBO:0001,1901787-20";1;"80000768"
"ShopOrderBO:0001,1902301-10";1;"82502211"
"ShopOrderBO:0001,1902301-20";1;"82502211"
"ShopOrderBO:0001,1902301-30";1;"82502211"
"ShopOrderBO:0001,1903127-10";1;"82568311"
"ShopOrderBO:0001,1903336-10";1;"82501302"
"ShopOrderBO:0001,1903336-20";1;"82501302"
"ShopOrderBO:0001,1903339-30";1;"82507301"
"ShopOrderBO:0001,1903577-10";1;"80001566"
"ShopOrderBO:0001,1903583-10";1;"80001566"
"ShopOrderBO:0001,5199221";1;"72906691"
"ShopOrderBO:0001,5202591";1;"72319317"
"ShopOrderBO:0001,5203206";1;"72319317"
"ShopOrderBO:0001,5205407";1;"72319317"
"ShopOrderBO:0001,5208247";1;"72107427"
"ShopOrderBO:0001,5210056";1;"72319317"
"ShopOrderBO:0001,5211827";1;"72107427"
"ShopOrderBO:0001,5212237";1;"72906712"
"ShopOrderBO:0001,5212238";1;"72906731"
"ShopOrderBO:0001,5212877";1;"72906712"
"ShopOrderBO:0001,5213603";1;"72107533"
"ShopOrderBO:0001,5216340";1;"72107427"
"ShopOrderBO:0001,5216934";1;"72107427"
"ShopOrderBO:0001,5217927";1;"72319317"
"ShopOrderBO:0001,5218574";1;"72906712"
"ShopOrderBO:0001,5219234";1;"72107427"
"ShopOrderBO:0001,5219656";1;"72906712"
"ShopOrderBO:0001,5220389";1;"72906712"
"ShopOrderBO:0001,5220459";1;"72319317"
"ShopOrderBO:0001,5220460";1;"72107426"
"ShopOrderBO:0001,5221416";1;"80001568"
"ShopOrderBO:0001,5222094";1;"72906712"
"ShopOrderBO:0001,5223603";1;"72319317"
"ShopOrderBO:0001,5224108";1;"80000988"
"ShopOrderBO:0001,5224110";1;"80001343"
"ShopOrderBO:0001,5224368";1;"72319317"
"ShopOrderBO:0001,5225374";1;"72906712"
"ShopOrderBO:0001,5226957";1;"72906731"
"ShopOrderBO:0001,5226959";1;"72319317"
"ShopOrderBO:0001,5227181";1;"80001568"
"ShopOrderBO:0001,5227460";1;"80000988"
"ShopOrderBO:0001,5228925";1;"80000988"
"ShopOrderBO:0001,5229610";1;"72906712"
"ShopOrderBO:0001,5229863";1;"80000988"
"ShopOrderBO:0001,5229865";1;"80000988"
"ShopOrderBO:0001,5230106";1;"80001004"
"ShopOrderBO:0001,5230108";1;"80001005"
"ShopOrderBO:0001,5230687";1;"80000988"
"ShopOrderBO:0001,5231688";1;"80000988"
"ShopOrderBO:0001,5231883";1;"80001004"
"ShopOrderBO:0001,5231887";1;"72906712"
"ShopOrderBO:0001,5231893";1;"72319713"
"ShopOrderBO:0001,5232356";1;"80000988"
"ShopOrderBO:0001,5232358";1;"80000988"
"ShopOrderBO:0001,5232360";1;"80001002"
"ShopOrderBO:0001,5232694";1;"72906712"
"ShopOrderBO:0001,5233047";1;"72107533"
"ShopOrderBO:0001,5233354";1;"72906691"
"ShopOrderBO:0001,5233387";1;"80000988"
"ShopOrderBO:0001,5233389";1;"80000988"
"ShopOrderBO:0001,5233998";1;"80000988"
"ShopOrderBO:0001,5234193";1;"80001002"
"ShopOrderBO:0001,5234712";1;"80000988"
"ShopOrderBO:0001,5235292";1;"80001002"
"ShopOrderBO:0001,5235355";1;"80000988"
"ShopOrderBO:0001,5236219";1;"72906712"
"ShopOrderBO:0001,5236220";1;"72107426"
"ShopOrderBO:0001,5236221";1;"72319317"
"ShopOrderBO:0001,5236222";1;"72107433"
"ShopOrderBO:0001,5236223";1;"72906731"
"ShopOrderBO:0001,5236224";1;"72107433"
"ShopOrderBO:0001,5236225";1;"72107427"
"ShopOrderBO:0001,5236228";1;"72319317"
"ShopOrderBO:0001,5236229";1;"72107427"
"ShopOrderBO:0001,5236230";1;"72107502"
"ShopOrderBO:0001,5236272";1;"72319753"
"ShopOrderBO:0001,5236273";1;"72906975"
"ShopOrderBO:0001,5236274";1;"72906982"
"ShopOrderBO:0001,5236646";1;"72319713"
"ShopOrderBO:0001,5236647";1;"72319316"
"ShopOrderBO:0001,5237213";1;"72107426"
"ShopOrderBO:0001,5237222";1;"72107427"
"ShopOrderBO:0001,5237531";1;"80001004"
"ShopOrderBO:0001,5237533";1;"80001005"
"ShopOrderBO:0001,5237677";1;"72907002"
"ShopOrderBO:0001,5237680";1;"72907002"
"ShopOrderBO:0001,5237694";1;"72907002"
"ShopOrderBO:0001,5237698";1;"72107427"
"ShopOrderBO:0001,5237700";1;"72319317"
"ShopOrderBO:0001,5237721";1;"80001568"
"ShopOrderBO:0001,5237756";1;"80000988"
"ShopOrderBO:0001,5237833";1;"72107427"
"ShopOrderBO:0001,5237930";1;"72107533"
"ShopOrderBO:0001,5237944";1;"72907002"
"ShopOrderBO:0001,5237947";1;"72319317"
"ShopOrderBO:0001,5238096";1;"72906712"
"ShopOrderBO:0001,5238232";1;"72107533"
"ShopOrderBO:0001,5238393";1;"72907002"
"ShopOrderBO:0001,5238397";1;"72319316"
"ShopOrderBO:0001,5238398";1;"72906712"
"ShopOrderBO:0001,5238403";1;"72214607"
"ShopOrderBO:0001,5238406";1;"80000988"
"ShopOrderBO:0001,5238783";1;"72107427"
"ShopOrderBO:0001,5238784";1;"72319317"
"ShopOrderBO:0001,5238785";1;"72319713"
"ShopOrderBO:0001,5238787";1;"72906976"
"ShopOrderBO:0001,5238798";1;"72107426"
"ShopOrderBO:0001,5238799";1;"72107427"
"ShopOrderBO:0001,5238805";1;"80000988"
"ShopOrderBO:0001,5238986";1;"80001546"
"ShopOrderBO:0001,5238988";1;"80001546"
"ShopOrderBO:0001,5238990";1;"80000988"
"ShopOrderBO:0001,5239098";1;"72319316"
"ShopOrderBO:0001,5239099";1;"72906712"
"ShopOrderBO:0001,5239141";1;"72107426"
"ShopOrderBO:0001,5239142";1;"72319317"
"ShopOrderBO:0001,5239143";1;"72906712"
"ShopOrderBO:0001,5239144";1;"72107427"
"ShopOrderBO:0001,5239145";1;"72107433"
"ShopOrderBO:0001,5239146";1;"72906973"
"ShopOrderBO:0001,5239147";1;"72107427"
"ShopOrderBO:0001,5239649";1;"72107426"
"ShopOrderBO:0001,5239650";1;"72107426"
"ShopOrderBO:0001,5239663";1;"80000988"
"ShopOrderBO:0001,5239733";1;"80001002"
"ShopOrderBO:0001,5239735";1;"72319316"
"ShopOrderBO:0001,5239751";1;"72319753"
"ShopOrderBO:0001,5239755";1;"72906975"
"ShopOrderBO:0001,5239756";1;"72907002"
"ShopOrderBO:0001,5239758";1;"72906712"
"ShopOrderBO:0001,5239759";1;"72107433"
"ShopOrderBO:0001,5239760";1;"72319713"
"ShopOrderBO:0001,5239761";1;"72906731"
"ShopOrderBO:0001,5239780";1;"72906974"
"ShopOrderBO:0001,5240018";1;"80000988"
"ShopOrderBO:0001,5240116";1;"72907002"
"ShopOrderBO:0001,5240182";1;"72907002"
"ShopOrderBO:0001,5240184";1;"72107427"
"ShopOrderBO:0001,5240185";1;"72107427"
"ShopOrderBO:0001,5240186";1;"72319317"
"ShopOrderBO:0001,5240187";1;"72906712"
"ShopOrderBO:0001,5240188";1;"72107427"
"ShopOrderBO:0001,5240191";1;"72107426"
"ShopOrderBO:0001,5240192";1;"72319317"
"ShopOrderBO:0001,5240313";1;"80000988"
"ShopOrderBO:0001,5240438";1;"72107502"
"ShopOrderBO:0001,5240727";1;"80000988"
"ShopOrderBO:0001,5240729";1;"80000988"
"ShopOrderBO:0001,5240731";1;"80000988"
"ShopOrderBO:0001,5240893";1;"80001568"
"ShopOrderBO:0001,5240957";1;"72107426"
"ShopOrderBO:0001,5240958";1;"72907002"
"ShopOrderBO:0001,5240959";1;"72319316"
"ShopOrderBO:0001,5241158";1;"72319317"
"ShopOrderBO:0001,5241159";1;"72319753"
"ShopOrderBO:0001,5241160";1;"72906975"
"ShopOrderBO:0001,5241168";1;"72107427"
"ShopOrderBO:0001,5241169";1;"72906712"
"ShopOrderBO:0001,5241170";1;"72107427"
"ShopOrderBO:0001,5241171";1;"72906731"
"ShopOrderBO:0001,5241172";1;"72107433"
"ShopOrderBO:0001,5241501";1;"72107427"
"ShopOrderBO:0001,5241502";1;"72906973"
"ShopOrderBO:0001,5241553";1;"80000988"
"ShopOrderBO:0001,5241704";1;"72320311"
"ShopOrderBO:0001,5241813";1;"72906712"
"ShopOrderBO:0001,5241815";1;"72319316"
"ShopOrderBO:0001,5241821";1;"72319753"
"ShopOrderBO:0001,5241999";1;"80001002"
"ShopOrderBO:0001,5242001";1;"80000988"
"ShopOrderBO:0001,54645405";1;"80000648"
"ShopOrderBO:0001,54645406";1;"80000653"
"ShopOrderBO:0001,54645409";1;"80000733"
"ShopOrderBO:0001,54645430";1;"80001001"
"ShopOrderBO:0001,54645441";1;"82501800"
"ShopOrderBO:0001,54645443";1;"82502800"
"ShopOrderBO:0001,54645444";1;"82502810"
"ShopOrderBO:0001,54645451";1;"82507800"
"ShopOrderBO:0001,54645458";1;"82508890"
"ShopOrderBO:0001,54645462";1;"82511800"
"ShopOrderBO:0001,54645466";1;"82512810"
"ShopOrderBO:0001,54645470";1;"82517800"
"ShopOrderBO:0001,54645474";1;"82518840"
"ShopOrderBO:0001,54645482";1;"82572810"
"ShopOrderBO:0001,54645483";1;"82578810"
"ShopOrderBO:0001,54645486";1;"80001275"
"ShopOrderBO:0001,56007610";1;"72906512"
"ShopOrderBO:0001,56007611";1;"72906521"
"ShopOrderBO:0001,57309845";1;"72320265"
"ShopOrderBO:0001,57604525";1;"72320386"
"ShopOrderBO:0001,57604526";1;"72320387"
"ShopOrderBO:0001,57604527";1;"72320388"
"ShopOrderBO:0001,58197331";1;"80000987"
"ShopOrderBO:0001,58258404";1;"82508840"
"ShopOrderBO:0001,58544621";1;"80001415"
"ShopOrderBO:0001,58754649";1;"80001559"
"ShopOrderBO:0001,58802991";1;"80000935"
"ShopOrderBO:0001,59055044";1;"80000997"
"ShopOrderBO:0001,59710761";1;"82502810"
"ShopOrderBO:0001,60032299";1;"80000935"
"ShopOrderBO:0001,60032301";1;"80000987"
"ShopOrderBO:0001,60032326";1;"82518810"
"ShopOrderBO:0001,60357120";1;"80000987"
"ShopOrderBO:0001,60357919";1;"80001150"
"ShopOrderBO:0001,60358198";1;"80001417"
"ShopOrderBO:0001,60358199";1;"80000935"
"ShopOrderBO:0001,60358200";1;"82502810"
"ShopOrderBO:0001,60358201";1;"82508810"
"ShopOrderBO:0001,60358202";1;"82512810"
"ShopOrderBO:0001,60358203";1;"80001001"
"ShopOrderBO:0001,60358204";1;"82502970"
"ShopOrderBO:0001,60402180";1;"82572810"
"ShopOrderBO:0001,60442466";1;"82562600"
"ShopOrderBO:0001,60442497";1;"82507800"
"ShopOrderBO:0001,60484451";1;"82511800"
"ShopOrderBO:0001,60484511";1;"80001415"
"ShopOrderBO:0001,60484513";1;"82501800"
"ShopOrderBO:0001,60486353";1;"80001275"
"ShopOrderBO:0001,60486355";1;"80001416"
"ShopOrderBO:0001,60488141";1;"80001567"
"ShopOrderBO:0001,60488142";1;"82502760"
"ShopOrderBO:0001,60528478";1;"72906926"
"ShopOrderBO:0001,60528654";1;"72906492"
"ShopOrderBO:0001,60529767";1;"72906097"
"ShopOrderBO:0001,60529776";1;"72906169"
"ShopOrderBO:0001,60529793";1;"82512810"
"ShopOrderBO:0001,60567966";1;"82502810"
"ShopOrderBO:0001,60567970";1;"82517800"
"ShopOrderBO:0001,60567981";1;"82568810"
"ShopOrderBO:0001,60724784";1;"82507800"
"ShopOrderBO:0001,60724789";1;"82518810"
"ShopOrderBO:0001,60725125";1;"80001414"
"ShopOrderBO:0001,60725126";1;"80001523"
"ShopOrderBO:0001,60725131";1;"82512800"
"ShopOrderBO:0001,60764101";1;"72906100"
"ShopOrderBO:0001,6083425-20";1;"82512311"
"ShopOrderBO:0001,60839663";1;"72320310"
"ShopOrderBO:0001,60840244";1;"80001567"
"ShopOrderBO:0001,6084267-10";1;"82502311"
"ShopOrderBO:0001,6084293-30";1;"82502301"
"ShopOrderBO:0001,6084293-40";1;"82508311"
"ShopOrderBO:0001,6084342-10";1;"82512311"
"ShopOrderBO:0001,6084342-20";1;"82511301"
"ShopOrderBO:0001,6084349-10";1;"82501301"
"ShopOrderBO:0001,6084350-10";1;"82507301"
"ShopOrderBO:0001,6084351-10";1;"82501301"
"ShopOrderBO:0001,6084351-20";1;"82507301"
"ShopOrderBO:0001,6084353-10";1;"82501301"
"ShopOrderBO:0001,6084353-20";1;"82507301"
"ShopOrderBO:0001,6084354-10";1;"82501301"
"ShopOrderBO:0001,6084355-10";1;"82501301"
"ShopOrderBO:0001,6084356-10";1;"82501301"
"ShopOrderBO:0001,6084357-10";1;"82501301"
"ShopOrderBO:0001,6084357-20";1;"82507301"
"ShopOrderBO:0001,6084358-10";1;"82501301"
"ShopOrderBO:0001,6084358-20";1;"82507301"
"ShopOrderBO:0001,6084359-10";1;"82501301"
"ShopOrderBO:0001,6084359-20";1;"82507301"
"ShopOrderBO:0001,6084360-10";1;"82501301"
"ShopOrderBO:0001,6084361-10";1;"82507301"
"ShopOrderBO:0001,6084362-10";1;"82507301"
"ShopOrderBO:0001,6084364-10";1;"82507301"
"ShopOrderBO:0001,6084365-10";1;"82501301"
"ShopOrderBO:0001,6084397-10";1;"82502311"
"ShopOrderBO:0001,6084449-20";1;"82511301"
"ShopOrderBO:0001,6084481-10";1;"82511301"
"ShopOrderBO:0001,6084481-20";1;"82511301"
"ShopOrderBO:0001,6084481-30";1;"82512311"
"ShopOrderBO:0001,6084481-60";1;"82517301"
"ShopOrderBO:0001,6084501-10";1;"82512311"
"ShopOrderBO:0001,6084501-20";1;"82518311"
"ShopOrderBO:0001,6084503-20";1;"82512311"
"ShopOrderBO:0001,6084514-10";1;"82501301"
"ShopOrderBO:0001,6084514-20";1;"82502311"
"ShopOrderBO:0001,6084514-30";1;"82507301"
"ShopOrderBO:0001,6084518-10";1;"82507301"
"ShopOrderBO:0001,6084518-20";1;"82508311"
"ShopOrderBO:0001,6084518-40";1;"82508311"
"ShopOrderBO:0001,6084522-10";1;"82507301"
"ShopOrderBO:0001,6084522-20";1;"82508311"
"ShopOrderBO:0001,6084549-10";1;"82502311"
"ShopOrderBO:0001,6084551-10";1;"82511301"
"ShopOrderBO:0001,6084551-30";1;"82512311"
"ShopOrderBO:0001,6084559-20";1;"82508311"
"ShopOrderBO:0001,6084561-10";1;"82502311"
"ShopOrderBO:0001,6084570-10";1;"82512311"
"ShopOrderBO:0001,6084570-20";1;"82511301"
"ShopOrderBO:0001,6084574-20";1;"82502311"
"ShopOrderBO:0001,6084575-30";1;"82502311"
"ShopOrderBO:0001,6084583-10";1;"82512311"
"ShopOrderBO:0001,6084583-20";1;"82512311"
"ShopOrderBO:0001,6084583-50";1;"82518311"
"ShopOrderBO:0001,6084584-30";1;"82507301"
"ShopOrderBO:0001,6084584-40";1;"82508311"
"ShopOrderBO:0001,6084585-10";1;"82502311"
"ShopOrderBO:0001,6084585-20";1;"82501301"
"ShopOrderBO:0001,6084594-10";1;"82501301"
"ShopOrderBO:0001,6084597-10";1;"82512301"
"ShopOrderBO:0001,6084597-30";1;"82511301"
"ShopOrderBO:0001,6084597-50";1;"82517301"
"ShopOrderBO:0001,6084605-10";1;"82511301"
"ShopOrderBO:0001,6084615-10";1;"82507301"
"ShopOrderBO:0001,6084616-10";1;"82501301"
"ShopOrderBO:0001,6084632-10";1;"82511301"
"ShopOrderBO:0001,6084635-10";1;"82502311"
"ShopOrderBO:0001,6084643-10";1;"82501301"
"ShopOrderBO:0001,6084656-10";1;"82502311"
"ShopOrderBO:0001,6084661-50";1;"82511341"
"ShopOrderBO:0001,6084682-10";1;"82502311"
"ShopOrderBO:0001,6084693-10";1;"82511301"
"ShopOrderBO:0001,6084695-10";1;"82517341"
"ShopOrderBO:0001,6084696-10";1;"82511301"
"ShopOrderBO:0001,6084700-20";1;"82501301"
"ShopOrderBO:0001,6084700-30";1;"82507301"
"ShopOrderBO:0001,6084706-10";1;"82502311"
"ShopOrderBO:0001,6084719-10";1;"82512311"
"ShopOrderBO:0001,6084719-20";1;"82518311"
"ShopOrderBO:0001,6084723-10";1;"82512301"
"ShopOrderBO:0001,6084723-20";1;"82512311"
"ShopOrderBO:0001,6084723-30";1;"82511301"
"ShopOrderBO:0001,6084723-40";1;"82517301"
"ShopOrderBO:0001,6084723-50";1;"82518311"
"ShopOrderBO:0001,6084728-10";1;"82511301"
"ShopOrderBO:0001,6084731-10";1;"82502311"
"ShopOrderBO:0001,6084753-10";1;"82502311"
"ShopOrderBO:0001,6084763-10";1;"82511301"
"ShopOrderBO:0001,6084763-20";1;"82512311"
"ShopOrderBO:0001,6084768-20";1;"82518311"
"ShopOrderBO:0001,6084768-30";1;"82518311"
"ShopOrderBO:0001,6084783-40";1;"82517301"
"ShopOrderBO:0001,6084784-10";1;"82507301"
"ShopOrderBO:0001,6084787-10";1;"82511301"
"ShopOrderBO:0001,6084787-30";1;"82517301"
"ShopOrderBO:0001,6084807-10";1;"82508311"
"ShopOrderBO:0001,6084810-10";1;"82512311"
"ShopOrderBO:0001,6084810-20";1;"82518311"
"ShopOrderBO:0001,6084843-10";1;"82502311"
"ShopOrderBO:0001,6084843-20";1;"82502311"
"ShopOrderBO:0001,6084843-30";1;"82502311"
"ShopOrderBO:0001,6084844-10";1;"82512311"
"ShopOrderBO:0001,6084860-20";1;"82518311"
"ShopOrderBO:0001,6084883-30";1;"82518311"
"ShopOrderBO:0001,6084885-10";1;"82512311"
"ShopOrderBO:0001,6084888-10";1;"82501301"
"ShopOrderBO:0001,6084889-10";1;"82501301"
"ShopOrderBO:0001,6084891-10";1;"82512311"
"ShopOrderBO:0001,6084899-20";1;"82511301"
"ShopOrderBO:0001,6084906-10";1;"82507301"
"ShopOrderBO:0001,6084934-10";1;"82511301"
"ShopOrderBO:0001,6084934-20";1;"82517301"
"ShopOrderBO:0001,6084961-10";1;"82512311"
"ShopOrderBO:0001,6084970-10";1;"82501301"
"ShopOrderBO:0001,6084971-10";1;"82508311"
"ShopOrderBO:0001,6084972-10";1;"82507301"
"ShopOrderBO:0001,6084992-10";1;"82517301"
"ShopOrderBO:0001,6084992-20";1;"82511301"
"ShopOrderBO:0001,6084992-30";1;"82512311"
"ShopOrderBO:0001,6085035-80";1;"82512301"
"ShopOrderBO:0001,6085041-20";1;"82501301"
"ShopOrderBO:0001,6085042-10";1;"82518311"
"ShopOrderBO:0001,6085054-10";1;"82518311"
"ShopOrderBO:0001,6085057-10";1;"82501301"
"ShopOrderBO:0001,6085063-30";1;"82517301"
"ShopOrderBO:0001,6085075-10";1;"82502311"
"ShopOrderBO:0001,6085075-20";1;"82508311"
"ShopOrderBO:0001,6085079-10";1;"82507301"
"ShopOrderBO:0001,6085080-10";1;"82507301"
"ShopOrderBO:0001,6085084-10";1;"82507301"
"ShopOrderBO:0001,6085086-10";1;"82507301"
"ShopOrderBO:0001,6085087-10";1;"82507301"
"ShopOrderBO:0001,6085088-10";1;"82507301"
"ShopOrderBO:0001,6085089-10";1;"82507301"
"ShopOrderBO:0001,6085090-10";1;"82507301"
"ShopOrderBO:0001,6085091-10";1;"82507301"
"ShopOrderBO:0001,6085092-10";1;"82507301"
"ShopOrderBO:0001,6085093-10";1;"82507301"
"ShopOrderBO:0001,6085110-10";1;"82502311"
"ShopOrderBO:0001,6085116-10";1;"82517301"
"ShopOrderBO:0001,6085128-10";1;"82512311"
"ShopOrderBO:0001,6085151-10";1;"82512301"
"ShopOrderBO:0001,6085151-30";1;"82511341"
"ShopOrderBO:0001,6085151-40";1;"82517341"
"ShopOrderBO:0001,6085152-10";1;"82507301"
"ShopOrderBO:0001,6085153-10";1;"82501301"
"ShopOrderBO:0001,6085154-10";1;"82507301"
"ShopOrderBO:0001,6085155-10";1;"82501301"
"ShopOrderBO:0001,6085155-20";1;"82507301"
"ShopOrderBO:0001,6085157-10";1;"82511301"
"ShopOrderBO:0001,6085157-20";1;"82517301"
"ShopOrderBO:0001,6085161-10";1;"82511301"
"ShopOrderBO:0001,6085161-20";1;"82512301"
"ShopOrderBO:0001,6085161-30";1;"82512311"
"ShopOrderBO:0001,6085161-40";1;"82518311"
"ShopOrderBO:0001,6085161-70";1;"82512301"
"ShopOrderBO:0001,6085161-80";1;"82512311"
"ShopOrderBO:0001,6085161-90";1;"82517301"
"ShopOrderBO:0001,6085165-20";1;"82511301"
"ShopOrderBO:0001,6085189-20";1;"82512301"
"ShopOrderBO:0001,6085206-10";1;"82502311"
"ShopOrderBO:0001,6085221-10";1;"82501301"
"ShopOrderBO:0001,6085232-10";1;"82517301"
"ShopOrderBO:0001,729061931";1;"72906193"
"ShopOrderBO:0001,A0901_72906710A_1";1;"72906710"
"ShopOrderBO:0001,A0901_RMA_72107427_A1";1;"72107427"
"ShopOrderBO:0001,A0901_RMA_72107533_A1";1;"72107533"
"ShopOrderBO:0001,A0901_RMA_72319316_A1";1;"72319316"
"ShopOrderBO:0001,A0901_RMA_72319317_A1";1;"72319317"
"ShopOrderBO:0001,A0901_RMA_72319713_A1";1;"72319713"
"ShopOrderBO:0001,A0901_RMA_72906975_A1";1;"72906975"
"ShopOrderBO:0001,A0902_72319317A1";1;"72319317"
"ShopOrderBO:0001,A0902_72906929A4";1;"72906929"
"ShopOrderBO:0001,A0902_72906943A1";1;"72906943"
"ShopOrderBO:0001,A0902_72906945A1";1;"72906945"
"ShopOrderBO:0001,A09_72906186A_1";1;"72906186"
"ShopOrderBO:0001,A09_72906600A_19";1;"72906600"
"ShopOrderBO:0001,A09_72906929A_1";1;"72906929"
"ShopOrderBO:0001,A09_72906943A_1";1;"72906943"
"ShopOrderBO:0001,A09_72906944A_1";1;"72906944"
"ShopOrderBO:0001,A09_72906945A_1";1;"72906945"
"ShopOrderBO:0001,A12_DUMMY_A_1";0;
"ShopOrderBO:0001,A1680001371A_1";1;"80001371"
"ShopOrderBO:0001,A1680001372A_1";1;"80001372"
"ShopOrderBO:0001,A21REWORK1901";8;"80000988, 80001004, 80001007, 80001005, 80001002, 80001343, 80001546, 80001568"
"ShopOrderBO:0001,A21REWORK2001";4;"80000988, 80001002, 80001004, 80001005"
"ShopOrderBO:0001,I0532906968A_1";1;"32906968"
